,UserStory,Label
0,"i want to have accurate , clear presentation of waitlist and enrollment data",Soft-goal
1,i can catch errors early and store reliable data,Capability
2,i can ensure compliance with the requirements prior to the hearing,Soft-goal
3,i can share information with other staff collaborating on the record,Capability
4,i can have a sense of my company's performance,Soft-goal
5,i have a reason to use the website,Soft-goal
6,"i want to check the status of a transaction ,",Capability
7,i'd like a degree planner that plans against a real class schedule allowing me to finish in 4 years,Soft-goal
8,i want to be able to select the payment desiderata,Capability
9,i want the application to automatically suggest the similar macth with other riders,Capability
10,i want to have accurate and complete data related to ppopcode and ppopcongressionaldistrict,Hard-goal
11,application can be improved or appreciated,Capability
12,"i want to know how many users have previewed a dataset ,",Capability
13,i can maintain accurate ordinance information in the system,Task
14,"i want a dat integration ,",Capability
15,"i want to capture a hearing decision ,",Capability
16,"i want to view the profiles of other members ,",Capability
17,i know how interest in a dataset relates to its actual download numbers,Soft-goal
18,"i can review them for compliance and either approve , or fail or deny the plans and record any conditions , clearances , or corrections needed from the applicant",Capability
19,the riders can apply for the ride with full knowledge of the conditions,Capability
20,i want to pay for the carpooling service in function of the country he is travelling in,Hard-goal
21,i want to specify the major places where i pass by,Capability
22,i can see only what is relevant or meaningful to me,Soft-goal
23,student organizations can find me based on my interests,Capability
24,i can bring the required parties together at a specific date / time to address an issue,Capability
25,i want to create a group in the application,Capability
26,i want to be able to filter my email,Capability
27,i want a better explanation of housing options available to me,Soft-goal
28,i want the flexfields in my submission file to appear in the warning and error files when the only error is a missing required element,Capability
29,"i want to be able to import data from a google spreadsheet ,",Capability
30,i can make sure the appropriate inspector receives the work,Capability
31,"i want to get quick notifications ,",Capability
32,"i want to have a great ui and ux from the sites ,",Soft-goal
33,i don't need to involve a programmer on simple email edits,Soft-goal
34,my data is more easily discoverable,Soft-goal
35,"i want to specify the funding that contributed to the creation of a given dataset ,",Capability
36,i want the information to be able to access the private policy rules of the car pooling systems,Capability
37,i can log in the system with my phone number and a password,Capability
38,my users can understand the interface in their native language,Soft-goal
39,i can preserve the history of draft proffer statements submitted by the applicant,Capability
40,i want to get file f in the correct format,Capability
41,i want one place to go when registering for classes ( including finding class ratings ),Capability
42,"i want to be able to have stepped zoom on map visualisations ,",Capability
43,i can add data to the datastore in bulk from the command line or my own programs,Capability
44,i can see it easily,Capability
45,"i want to be able to get a csv output of any cube - based query ,",Capability
46,i can manage more efficiently,Soft-goal
47,"i want a landing page to navigate to either fabs or dabs pages ,",Capability
48,"i want to be able to get the hours of each recycling facility ,",Capability
49,i want to have all of my financial information in one place,Capability
50,i would like to see how my awards compare to my bills,Capability
51,"i want to be able to manage / integrate my personal budget ,",Task
52,we have flexibility on what to charge in the future,Soft-goal
53,"i can easily see the most relevant , important items",Soft-goal
54,i want to make sure i don't miss any deadlines,Soft-goal
55,"i want to manage inspector workload ,",Task
56,the data quality and completeness improves,Hard-goal
57,"my data is findable , and i can have a data api",Soft-goal
58,"i want to get a data package into node ,",Capability
59,i need one place to look for all my campus announcements / notifications to make sure i don't miss any,Capability
60,i can use it to clean messy data,Soft-goal
61,i can ensure all pre - hearing requirements are satisfied in time for the hearing,Soft-goal
62,i can know for sure my waste is not going to leave a negative ecological footprint,Hard-goal
63,"i want to perform a staff review ,",Task
64,"i want to have a blog that highlights any and all projects in the open fiscal space ,",Capability
65,my ad remains active,Capability
66,i can track the outcome and record the impact on the relevant records,Capability
67,i can more conveniently use the website,Soft-goal
68,"i want to do a full - text search of article body , title , and author name ,",Capability
69,"i want to have articles that interest me and are easy to get to ,",Soft-goal
70,i want to rate a driver and share comments,Capability
71,i want it to be easier to make payments ( not have to convert currency or pay extra wire transfer fees due to frequent bill adjustments ),Soft-goal
72,we can add more features and keep improving the service we provide to them,Capability
73,i want to have ppopzip+4 work the same as the legal entity zip validations,Capability
74,i can process cases the first time,Capability
75,anyone can unsubscribe from the service,Capability
76,"i want to be able to communicate directly with facilities ,",Capability
77,i don't list events i don't really intend to hold,Capability
78,my methodology is transparent and can be rerun by others,Soft-goal
79,"i want to list my upcoming classes in my profile and include a link to a detailed page about each ,",Capability
80,"i want to be able to add or remove recycling facilities' information ,",Capability
81,"i can obtain publicly available information concerning properties , county services , processes and other general information",Capability
82,users can preview the data and be encouraged that this is the correct data for them,Capability
83,others can learn about me and decide if i am the right trainer for them,Soft-goal
84,i can test any nonprod feature in any environment,Task
85,i want to send a message to a driver,Capability
86,i want to be able to view a map display of the public recycling bins around my area,Capability
87,i can get the uploaded file,Capability
88,"i want to be able to edit the model of data i have already imported ,",Capability
89,"i want to map lines in my dataset using geographic data in my dataset ,",Capability
90,i want to subscribe to any drivers or groups,Capability
91,duplicate requests do not cause performance issues,Capability
92,"i want to view user error logs ,",Capability
93,i can cancel a drive,Capability
94,i can read them without visiting the site,Capability
95,i want to login to the platform,Task
96,"i want the data loaded from historical fabs to include the frec derivations ,",Capability
97,"i want to move on to round 2 of homepage edits ,",Capability
98,"i want to have a flexible api using hasc codes for countries , regions and cities ,",Soft-goal
99,i don't miss important ones,Soft-goal
100,"i want to have all data encrypted ,",Capability
101,the payment by sms has been performed,Capability
102,fees can be set without involving a programmer,Capability
103,i want more transparency and communications about getting into a class & wait list rules and processing,Soft-goal
104,site visitors can choose wisely,Soft-goal
105,i can receive notifications for new events as they are posted,Capability
106,i can see if there any i am interested in,Capability
107,"i want an integration with zenodo ,",Capability
108,"i want an spss integration ,",Capability
109,i have an accurate reference for my agency submissions,Soft-goal
110,"i want an app that create proxy data packages for well know and reliable data , sources ,",Capability
111,"i want to review plans ,",Capability
112,i want to add the 00 * * * * * and 00forgn ppopcode cases to the derivation logic,Capability
113,"i want to be able to provide a visualization of data in the data package ,",Capability
114,i want to be able to add a Capability on the dashboard,Capability
115,i want to use the application on my smartphone,Hard-goal
116,i can approve any that need to be approved,Capability
117,i want to search for the available rides using the voice recognition,Capability
118,others can use this information,Soft-goal
119,"i want to access an api from the website ,",Capability
120,i can validate my data upon ingest to the service,Capability
121,"i want the duns validations to accept records whose actiondates are before the current registration date in sam , but after the initial registration date",Capability
122,"i want to leave off the last 4 digits of the zip without an error ,",Capability
123,i want the rider to be satified of myservice,Soft-goal
124,i can see the new files as they come in,Capability
125,"i want to record an internal note ,",Capability
126,users get the most recent information,Soft-goal
127,"i want to set the following dates on a news item : start publishing date , old news date , stop publishing date ,",Capability
128,"i want to mark my profile as private in which case only my name will appear ,",Capability
129,i am more comfortable in using the car pooling service,Soft-goal
130,"i want to click on the address ,",Capability
131,i can better understand the visual logic of the map view,Soft-goal
132,"i want to view lists on the site of all certified scrum masters , practitioners , trainers , and certified scrum product owners",Capability
133,i work with datasets in reference to their contextual constraints,Soft-goal
134,"i want to have accurate information about required , breadth & major requirements ,",Capability
135,"i want to be able to normalise measures by population ,",Capability
136,"i want to read faqs ,",Capability
137,jobs that may have been filled aren't still listed when the hiring party forgets to come back and delete the ad,Capability
138,"i want to see new content when i come to the site ,",Capability
139,"i want an elasticsearch integration ,",Capability
140,"i want to make my logo randomly appear on the home page ,",Capability
141,the rider knows about it and can search for another possibility,Task
142,"i want to do a full - text search of the faqs ,",Capability
143,others know my certifications when reading,Soft-goal
144,"i want to manage plan reviewer workload ,",Task
145,i want to know or view the driver's profile as well as the other rider's,Capability
146,i'd like to be able to bookmark class sites that aren't automatically included ( piazza ) in calcentral,Capability
147,i can attract candidates,Soft-goal
148,"i want to get a data package into julia in seconds ,",Capability
149,"i want to perform a completeness review ,",Task
150,i am up to day without having to visit the site,Soft-goal
151,"i want to create an other course or event i am charged a listing fee for that activity ,",Capability
152,"i want to join the scrum alliance by paying a corporate membership fee ,",Capability
153,i can troubleshoot issues with particular submissions and functions,Task
154,i want to be able to view the safe disposal events currently being organised around my area,Capability
155,i know i can pay my bills,Capability
156,"i want to be able to receive tempting rewards ,",Capability
157,my dataset is more readable,Soft-goal
158,"i want to schedule a meeting ,",Task
159,"i want to evaluate consistency with the comprehensive plan ,",Task
160,"i am only looking at data that is relevant to me ( because i'm an international student , do not show financial aid information )",Soft-goal
161,it's no longer listed if i cancel for some reason,Capability
162,i can monitor and effectively adjust workload as necessary and ensure service levels are met,Task
163,they register and there's a benefit to my membership,Task
164,i want to have access to the full information of all employees working for this business,Capability
165,"i want to prepare for and support hearing execution ,",Task
166,they can be considered for publication,Hard-goal
167,"i want to be able to add a dataset in a hidden state ,",Capability
168,i can provide the latest information about the recycling center,Capability
169,"i want the header information box to show updated date and time ,",Capability
170,i know what to test and what want s to be fixed,Soft-goal
171,i can easily create a bill statement,Capability
172,"i want to add an article to the site ,",Capability
173,i can successfully update the transactional parcel pin to reference the gis layer where the split or merged parcel pin exists,Capability
174,i can know how to fix it,Soft-goal
175,"i can access , analyze and/or export the needed information in the format i requested",Capability
176,"i can obtain all associated current and historic owners , permits , and applications",Capability
177,i can prevent progression through the workflow or other actions in the system until the issue is resolved,Capability
178,"i want to have a view on all datasets published by all users ,",Capability
179,i can submit my financial assistance data,Capability
180,i can provide my analysis and show my work to users of the data,Task
181,i can read them,Capability
182,i can effectively planning my academic career,Task
183,i can register to the service,Task
184,i can use work with tools that read csv,Capability
185,"i want to specify the conditions of the ride ( price , size of bags , pets allowed or not , disposed to talk or not )",Capability
186,i can customize the visualisations,Capability
187,"i want to design a database that will contain the information coming from voice , sms and an android application to propose and book rides",Task
188,i'd like to see my cal1card balance,Capability
189,"i want to set the listing fee per other course or event ,",Capability
190,i can view in real - time how many users have visited my recycling center information and their recyclable waste,Capability
191,"i want to assign an application for detailed review ,",Capability
192,i can import datasets without downloading them locally,Capability
193,others see the company's support of scrum,Capability
194,i can remove things that will no longer occur,Capability
195,i can have better control over the navigation experience inside a map view,Soft-goal
196,"i'd like to see events and Capability for a month at a time ,",Capability
197,"i want to know as soon as i visit what on earth scrum is and why it needs an alliance ,",Soft-goal
198,i can learn from them or use them,Task
199,"i want a tool to create an embeddable data summary via iframe ,",Capability
200,i can integrate data - packaged data with pipelines that use dat,Capability
201,"i can ensure all plan review tasks are completed , results have been sent to the applicant and any downstream steps are initiated such has a final review or payment for permit issuance",Hard-goal
202,i can submit my data efficiently,Capability
203,i can know what ui improvements we will follow through on,Soft-goal
204,"i want to manage hearing calendars ,",Task
205,i choose a course from an appropriate trainer,Capability
206,i'd like a map and walking directions for the campus,Capability
207,"i want to edit any site member profile ,",Capability
208,"i want to process the appeals ,",Capability
209,i can understand localised amounts in non - localised figures,Soft-goal
210,i want to access two additional fields from the fpds data pull,Capability
211,"i want to see a trainer's rating ,",Capability
212,"i can provide my information , plans and/or documents to initiate a transaction with the county",Capability
213,"i would like to create a web socket protocol for frictionless data tools ,",Capability
214,"i want to be able to normalise measures by geographical area ,",Capability
215,i don't want to see nasa grants displayed as contracts,Capability
216,"i want to request inspection ,",Capability
217,"i want to update the recycling center information ,",Capability
218,i want to get access to the details of a ride,Capability
219,my ratings are accurate,Hard-goal
220,i want to see updated financial assistance data daily,Capability
221,i can find guidance in creating my own with open spending,Capability
222,i can quickly find what i am looking for,Soft-goal
223,i want to arrange the list of the driver that i search,Capability
224,"i want to create an other course or event that is not charged a listing fee ,",Capability
225,i know about recycling centers near me before creating an account,Hard-goal
226,"i want the d1 file generation to be synced with the fpds data load ,",Capability
227,i want to generate and validate d files from fabs and fpds data,Capability
228,"i want to add donation centers as favorites on my profile ,",Capability
229,i want to assign role to myself,Capability
230,i want to register to the capooling service,Task
231,"i want to be able to translate the data types hierarchies of the viewer while in embed mode ,",Capability
232,"i want to understand the ways in which my data is invalid ,",Soft-goal
233,i can avoid any miscommunication with users,Soft-goal
234,i can integrate data - packaged data with pipelines that use dspace,Capability
235,"i want to subscribe to an rss feed of news ,",Capability
236,i can access both sides of the site,Capability
237,"i want to add general country names to my dataset that only contains country codes ,",Capability
238,"i want to make it easy to assess the quality of data stored by the government ,",Soft-goal
239,i want to be great when i access the car pooling service,Soft-goal
240,i can finish articles that appeal to me,Capability
241,others can read them,Soft-goal
242,"i want to choose a flexible pick up time ,",Capability
243,the best content is featured most prominently,Soft-goal
244,i want to share my interests,Capability
245,i can provide richer context in those communication channels for data i am sharing,Soft-goal
246,i would like to be able to easily ascertain what an email is about ( good subject line & table of contents ),Capability
247,i can validate customer compliance with code and regulations and provide results of the inspection to the customer,Capability
248,i'd like to check off and see my completed Capability,Capability
249,i know the potential timeline of the ui improvements wanted,Soft-goal
250,i can ensure plans have been assigned to the appropriate plan reviewer,Capability
251,i can benefit from the wide array of tools available for data packages,Soft-goal
252,"i want to customize an existing wizard for my specific type of data ,",Capability
253,"i want to subscribe to an rss feed of jobs available ,",Capability
254,i don't have to regenerate a file if no data has been updated,Capability
255,"i want to be emailed whenever a job is submitted ,",Capability
256,i want to ensure that deleted fsrs records are not included in submissions,Capability
257,i want fpds data to be up - to - date daily,Capability
258,i want to send a confirmation sms,Capability
259,"i want to have consistent use of colour on map visualisations ,",Soft-goal
260,"i want to edit the content of the email automatically sent to new certified scrum masters and product owners ,",Capability
261,i want to ensure i don't overlook important emails,Soft-goal
262,i can load all fpds data since 2007,Capability
263,i have the appropriate information for my application,Soft-goal
264,i can contact to the driver,Capability
265,i want to map the federalactionobligation properly to the atom feed,Capability
266,i can store my data in plaintext while still retaining its metadata,Capability
267,"i would like an integration with open refine ,",Capability
268,i can offer functionality based on dataset publisher privileges,Task
269,i can use it to apply to form control that uses a core dataset for autocompletion,Hard-goal
270,i can integrate data - packaged data with pipelines that use mongo,Capability
271,i want to ensure that fabs is deriving fields properly through a robust test file plus a follow up check,Capability
272,"i want to be able to use metadata to get results from multiple datasets ,",Capability
273,i can ensure compliance with and satisfaction of the proffer in the future,Soft-goal
274,"i want to have a view on all the datasets i have published ,",Capability
275,i want to be confident that the data coming from sam is complete,Hard-goal
276,i want to pay by credit card,Capability
277,i want to order a ride,Capability
278,i know when the status of the submission has changed,Hard-goal
279,i can show the company's support of scrum,Capability
280,"i want to know as i glance around the home page what on earth a csm is and why i'd want to be one ,",Capability
281,"i want feather integration ,",Capability
282,"i want to view all locations of recycling centers on a map ,",Capability
283,"i want to manage ordinances ,",Task
284,i can be guided through the neighbourhood,Soft-goal
285,such can be shared more easily and contribute to a visualisation gallery,Soft-goal
286,"i want to request a plan review meeting ,",Capability
287,"i want to be able to delete a dataset i have published ,",Capability
288,i can share them with others or include them in the data package,Capability
289,i would like a tool to check data availability persistence after publication,Capability
290,i can customise the branding for my own needs,Capability
291,"i want to assign priority numbers to news items ,",Capability
292,i can learn without first joining the site,Task
293,"i want to add type information to my data ,",Capability
294,i don't want to have to log in ; i want a responsive system that notifies me when i have a message or a payment is received,Capability
295,i can satisfy an applicant's request for service that has proven to be eligible and in compliance with the zoning ordinance,Capability
296,i want to connect with students who have the same major or same interests as me,Capability
297,"i want to schedule user testing ,",Task
298,i don't want to have to filter through ads to get to important content,Capability
299,"i want to get a data package into excel in seconds ,",Capability
300,i can earn that designation,Soft-goal
301,"i want to have an app where i can find examples of use of fiscal data visualisations ,",Soft-goal
302,"i want to view users' stats ,",Capability
303,my dataset is more useful,Soft-goal
304,i can successfully change information on an application,Capability
305,i can integrate data - packaged data with pipelines that use eprints,Capability
306,i can have a sense of what people are doing on our sites and know the service status,Soft-goal
307,i want to login,Task
308,"i want to be able to extend an ad for another 30 days by visiting the site and updating the posting ,",Capability
309,"i want   to help create content mockups ,",Capability
310,i want to submit records for individual recipients without receiving a duns error,Capability
311,i can schedule and assign the inspection,Task
312,prospective attendees can find my courses,Capability
313,i can access to the history of rides i gave,Capability
314,the riders can understand my itinary and can apply to part of my itinary,Soft-goal
315,i can maximize those opportunities,Soft-goal
316,i want to register to the service,Task
317,"i want to move on to round 2 of dabs or fabs landing page edits ,",Capability
318,i can listen to it again,Capability
319,i can integrate data - packaged data with pipelines that use spss,Capability
320,"i want to assign plans for review ,",Capability
321,i am most likely to read the most important or best content,Soft-goal
322,"i want validate my data with a minimum of clicks ,",Capability
323,"i want to upload my week's schedule ,",Capability
324,i want to offer the ride,Task
325,"i want to see a list of the most popular items on the site ,",Capability
326,"i want to download presentations , pdfs , etc on scrum ,",Capability
327,"i want to know if my csv file is valid ,",Capability
328,we can work together,Soft-goal
329,i want to be able to keep track of which emails are important to come back to,Capability
330,"i want to be able to block specific users based on ip address ,",Capability
331,i can complete my submissions,Capability
332,i can embed data summaries across sites,Capability
333,i can brand it to my own organisation's color scheme,Capability
334,i want to add useful metadata or add in new data columns to make the dataset more useful,Capability
335,i'd like to be able to post to multiple places at once ( calcentral & facebook ),Capability
336,i want to feel connected to the campus,Soft-goal
337,i want to view and pay my university bills in one place,Capability
338,"i want to know that my data conforms to its data package profile ,",Soft-goal
339,"i want to be able to read users' feedback and complaints ,",Capability
340,i can easily find a good living situation,Soft-goal
341,i can have appropriate context for understanding them,Soft-goal
342,"i want to embed an interactive preview of my data on my site ,",Capability
343,"i want to be able to share an image of a particular view state to the social networks that support this ,",Capability
344,i want the riders to pay by credit card,Capability
345,i want to be able to view a map display of the special waste drop off sites around my area,Capability
346,"i want to receive a reminder and a link ,",Capability
347,no one can learn things about me i don't want shared,Soft-goal
348,i can claim that we are living up to our transparency commitments,Capability
349,i need to filter out email that isn't important to me,Capability
350,"i want to be able to share information about important dates , deadlines & events with my friends",Capability
351,"i want to be able to normalise measures by gini and related socioeconomic indexes ,",Capability
352,i can start using the data in doing analysis and visualizations,Task
353,"i want to view user documentation for the website ,",Capability
354,"i want to be able to reference a remote - controlled vocabulary for my dataset ,",Capability
355,i want to receive updates to fabs records,Capability
356,"i want to see the results for each trainer and averages for the class ,",Capability
357,i can correctly classify anything that was entered incorrectly,Soft-goal
358,"i want an online service that is connected to my data repository that validates data on update ,",Capability
359,"i want to be informed about campus events that are of interest to me ,",Capability
360,i can integrate it and implement certain features in my own ios application,Capability
361,the information in the database is correct,Hard-goal
362,"i want a tool that can generate basic statistics about a dataset ,",Capability
363,during discovery i don't miss anything,Soft-goal
364,"i want to conduct inspections ,",Task
365,i can use the best tool for the job,Soft-goal
366,i can choose the one i prefer,Capability
367,i want to pay for the car pooling service in function of the country he is travelling in,Hard-goal
368,"i want to see textual descriptions that accompany embedded visualisations ,",Capability
369,i have visibility,Soft-goal
370,"i want to be able to anonymously view public information ,",Capability
371,"i want to move on to round 2 of the help page edits ,",Capability
372,i want my events and Capability ( assignments ) automatically provided and prominently displayed,Capability
373,"i want to send a formal response to applicant ,",Capability
374,"i want to access published fabs files ,",Capability
375,i can relate to as the central hub of fiscal openness,Soft-goal
376,"i want to be able to get bordering regions|cities when i query a region|city ,",Capability
377,only trainers see it,Soft-goal
378,it matches the new broker design styles,Hard-goal
379,i can work on a dataset before having it discoverable via openspending user interfaces,Capability
380,my cst status is active,Capability
381,"i want to resubmit plans ,",Capability
382,students could find clubs they are interested in,Capability
383,"i want the language on fabs pages to be appropriate for me ,",Capability
384,"i want to be able to provide the platform administrator with additional geojson sources ,",Capability
385,i want to select the ride characteristics,Capability
386,i want to easily see when i have to pay my bill and how much i owe,Soft-goal
387,"i want to be able to update my information and the type of material i accept ,",Capability
388,i can get validation results back in a reasonable amount of time,Capability
389,i can finish it,Capability
390,"i want to quickly access broker application data ,",Capability
391,i know i am in the right place,Soft-goal
392,i will not suffer from identity theft or telephone harassment,Soft-goal
393,i can load high quality data using data package tooling,Capability
394,excel won't strip off leading and trailing zeroes,Hard-goal
395,"i do not want   dabs banner messages and vice versa ,",Capability
396,i can complete my required review of a plan set and/or application,Task
397,i can give the testers advanced notice to ensure buy - in,Capability
398,i can justify padding,Task
399,i want one source to go to to see all my assignments,Capability
400,i can perform management actions on my own datasets,Task
401,"i can easily import them into my ml platform , so that i can start using the data in doing analysis",Capability
402,i can easily design my website,Task
403,"i want to include additional details about me in my profile page ,",Capability
404,"i want to track the issues that come up in tech thursday ,",Capability
405,i want to ensure that attempts to correct or delete non - existent records don't create new published data,Capability
406,"i want to be able to get a relative percentage of a measure to the total of the dataset it comes from ,",Capability
407,"i want to have my dataset update automatically as the source file / files changes ,",Capability
408,my agency codes are correct in the publishedawardfinancialassistance table,Hard-goal
409,i can give my users a great user experience,Soft-goal
410,i can provide maps that match the query,Capability
411,i want to access the raw agency published files from fabs via usaspending,Capability
412,"i want to reset the environment to only take staging max permissions ,",Capability
413,i can share data that i have found with others,Capability
414,the scrum alliance can share information with me easily,Capability
415,i could hop on real quick,Soft-goal
416,"i want to access old news that is no longer on the home page ,",Capability
417,"i want to be able to use data to get results from multiple datasets ,",Capability
418,i want to see a plan of what classes are planned for the upcoming 3 - 4 years,Capability
419,"i want to maintain a faq section ,",Capability
420,i remain sufficiently and easily informed,Soft-goal
421,i want access to my data even when i'm not online,Capability
422,"i want to update any course or event ,",Capability
423,i can enforce the system,Soft-goal
424,"i want to view all classes in a pending state ,",Capability
425,i want historical fpds data loaded,Capability
426,"i can understand where the provisioning of my service is in the process , such as information related to service levels , fees , plan review , permit , or inspection results",Soft-goal
427,"i want to prevent users from double publishing fabs submissions after refreshing ,",Capability
